티커,종목,ISIN,시장
092220,KEC,KR7092220003,STK
003620,KG모빌리티,KR7003620002,STK
016380,KG스틸,KR7016380008,STK
151860,KG에코솔루션,KR7151860004,KSQ
035600,KG이니시스,KR7035600006,KSQ
001390,KG케미칼,KR7001390004,STK
046440,KG파이낸셜,KR7046440004,KSQ
060720,KH바텍,KR7060720000,KSQ
001940,KISCO홀딩스,KR7001940006,STK
058400,KNN,KR7058400003,KSQ
025000,KPX케미칼,KR7025000001,STK
092230,KPX홀딩스,KR7092230002,STK
000040,KR모터스,KR7000040006,STK
044450,KSS해운,KR7044450005,STK
101000,KS인더스트리,KR7101000008,KSQ
030200,KT,KR7030200000,STK
033780,KT&G,KR7033780008,STK
058850,KTcs,KR7058850009,STK
058860,KTis,KR7058860008,STK
089600,KT나스미디어,KR7089600001,KSQ
418470,KT밀리의서재,KR7418470001,KSQ
043610,KT지니뮤직,KR7043610005,KSQ
122450,KX,KR7122450000,KSQ
052900,KX하이텍,KR7052900008,KSQ
036560,KZ정밀,KR7036560001,KSQ
061970,LB세미콘,KR7061970000,KSQ
309960,LB인베스트먼트,KR7309960003,KSQ
093050,LF,KR7093050003,STK
003550,LG,KR7003550001,STK
034220,LG디스플레이,KR7034220004,STK
051900,LG생활건강,KR7051900009,STK
051905,LG생활건강우,KR7051901007,STK
064400,LG씨엔에스,KR7064400005,STK
373220,LG에너지솔루션,KR7373220003,STK
003555,LG우,KR7003551009,STK
032640,LG유플러스,KR7032640005,STK
011070,LG이노텍,KR7011070000,STK
066570,LG전자,KR7066570003,STK
066575,LG전자우,KR7066571001,STK
037560,LG헬로비전,KR7037560000,STK
051910,LG화학,KR7051910008,STK
051915,LG화학우,KR7051911006,STK
079550,LIG디펜스앤에어로스페이스,KR7079550000,STK
073490,LIG아큐버,KR7073490005,KSQ
225190,LK삼양,KR7225190008,KSQ
006260,LS,KR7006260004,STK
010120,LS ELECTRIC,KR7010120004,STK
091970,LSK아이로봇,KR7091970004,KSQ
000680,LS네트웍스,KR7000680009,STK
060370,LS마린솔루션,KR7060370004,KSQ
417200,LS머트리얼즈,KR7417200003,KSQ
229640,LS에코에너지,KR7229640008,STK
078020,LS증권,KR7078020005,KSQ
322180,LS티라유텍,KR7322180001,KSQ
108320,LX세미콘,KR7108320003,STK
001120,LX인터내셔널,KR7001120005,STK
108670,LX하우시스,KR7108670001,STK
108675,LX하우시스우,KR7108671009,STK
383800,LX홀딩스,KR7383800000,STK
38380K,LX홀딩스1우,KR738380K012,STK
476080,M83,KR7476080007,KSQ
009810,MDS스피어,KR7009810003,STK
086960,MDS테크,KR7086960002,KSQ
023150,MH에탄올,KR7023150006,STK
123010,MSDI,KR7123010001,KSQ
035420,NAVER,KR7035420009,STK
036570,NC,KR7036570000,STK
160550,NEW,KR7160550000,KSQ
053290,NE능률,KR7053290003,KSQ
181710,NHN,KR7181710005,STK
060250,NHN KCP,KR7060250008,KSQ
104200,NHN벅스,KR7104200001,KSQ
054050,NH농우바이오,KR7054050000,KSQ
400760,NH올원리츠,KR7400760005,STK
005940,NH투자증권,KR7005940002,STK
005945,NH투자증권우,KR7005941000,STK
338100,NH프라임리츠,KR7338100001,STK
034310,NICE,KR7034310003,STK
063570,NICE인프라,KR7063570006,KSQ
030190,NICE평가정보,KR7030190003,STK
008260,NI스틸,KR7008260002,STK
004250,NPC,KR7004250007,STK
004255,NPC우,KR7004251005,STK
456040,OCI,KR7456040005,STK
010060,OCI홀딩스,KR7010060002,STK
